,alpha,beta,K,M,accuracy
582,3,4,10,70,0.006307096480236929
583,3,4,10,80,0.006308235562136918
584,3,4,20,10,0.006138512359038614
585,3,4,20,20,0.005034741997949652
586,3,4,20,30,0.005042715571249573
587,3,4,20,40,0.005048410980749516
588,3,4,20,50,0.005049550062649505
589,3,4,20,60,0.005048410980749516
590,3,4,20,70,0.005063219045449367
591,3,4,20,80,0.0050643581273493565
592,3,4,30,10,0.005436837908645632
593,3,4,30,20,0.005445950563845541
594,3,4,30,30,0.005451645973345484
595,3,4,30,40,0.005456202300945437
596,3,4,30,50,0.005456202300945437
597,3,4,30,60,0.00545506321904545
598,3,4,30,70,0.005469871283745301
599,3,4,30,80,0.00547101036564529
600,3,4,40,10,0.004968675247750313
601,3,4,40,20,0.004985761476250143
602,3,4,40,30,0.004991456885750085
603,3,4,40,40,0.004991456885750085
604,3,4,40,50,0.004991456885750085
605,3,4,40,60,0.004990317803850097
606,3,4,40,70,0.004990317803850097
607,3,4,40,80,0.004990317803850097
608,3,4,50,10,0.006017769677639823
609,3,4,50,20,0.006049663970839504
610,3,4,50,30,0.006032577742339674
611,3,4,50,40,0.006058776626039413
612,3,4,50,50,0.006058776626039413
613,3,4,50,60,0.006034855906139652
614,3,4,50,70,0.006039412233739606
615,3,4,50,80,0.006040551315639594
616,3,4,60,10,0.006057637544139424
617,3,4,60,20,0.006524661123134753
618,3,4,60,30,0.006079280100239207
619,3,4,60,40,0.00653491286023465
620,3,4,60,50,0.006533773778334663
621,3,4,60,60,0.00608497550973915
622,3,4,60,70,0.006082697345939173
623,3,4,60,80,0.006082697345939173
624,3,4,70,10,0.006500740403234993
625,3,4,70,20,0.00653605194213464
626,3,4,70,30,0.006520104795534799
627,3,4,70,40,0.006523522041234765
628,3,4,70,50,0.006522382959334776
629,3,4,70,60,0.006525800205034742
630,3,4,70,70,0.006523522041234765
631,3,4,70,80,0.006523522041234765
632,3,4,80,10,0.006024604169039755
633,3,4,80,20,0.006034855906139652
634,3,4,80,30,0.0060416903975395835
635,3,4,80,40,0.006045107643239549
636,3,4,80,50,0.006045107643239549
637,3,4,80,60,0.00604396856133956
638,3,4,80,70,0.00604396856133956
639,3,4,80,80,0.00604396856133956
640,3,5,10,10,0.0062831757603371684
641,3,5,10,20,0.006284314842237157
642,3,5,10,30,0.006291149333637089
643,3,5,10,40,0.006293427497437065
644,3,5,10,50,0.006293427497437065
645,3,5,10,60,0.006293427497437065
646,3,5,10,70,0.006309374644036906
647,3,5,10,80,0.006294566579337055
648,3,5,20,10,0.005048410980749516
649,3,5,20,20,0.005042715571249573
650,3,5,20,30,0.005049550062649505
651,3,5,20,40,0.005049550062649505
652,3,5,20,50,0.005049550062649505
653,3,5,20,60,0.005049550062649505
654,3,5,20,70,0.005065497209249346
655,3,5,20,80,0.005050689144549493
656,3,5,30,10,0.0054573413828454265
657,3,5,30,20,0.005452785055245473
658,3,5,30,30,0.005456202300945437
659,3,5,30,40,0.005456202300945437
660,3,5,30,50,0.005456202300945437
661,3,5,30,60,0.005456202300945437
662,3,5,30,70,0.00547101036564529
663,3,5,30,80,0.0054573413828454265
664,3,5,40,10,0.004982344230550177
665,3,5,40,20,0.004993735049550063
666,3,5,40,30,0.004991456885750085
667,3,5,40,40,0.004991456885750085
668,3,5,40,50,0.0049891787219501086
669,3,5,40,60,0.0049891787219501086
670,3,5,40,70,0.0049891787219501086
671,3,5,40,80,0.0049891787219501086
672,3,5,50,10,0.006055359380339447
673,3,5,50,20,0.006057637544139424
674,3,5,50,30,0.00603599498803964
675,3,5,50,40,0.006058776626039413
676,3,5,50,50,0.006056498462239435
677,3,5,50,60,0.006033716824239663
678,3,5,50,70,0.006040551315639594
679,3,5,50,80,0.006034855906139652
680,3,5,60,10,0.006523522041234765
681,3,5,60,20,0.006537191024034628
682,3,5,60,30,0.006086114591639139
683,3,5,60,40,0.006538330105934616
684,3,5,60,50,0.00653491286023465
685,3,5,60,60,0.006083836427839162
686,3,5,60,70,0.006083836427839162
687,3,5,60,80,0.006083836427839162
688,3,5,70,10,0.00653605194213464
689,3,5,70,20,0.006548581843034514
690,3,5,70,30,0.006526939286934731
691,3,5,70,40,0.006526939286934731
692,3,5,70,50,0.006523522041234765
693,3,5,70,60,0.006524661123134753
694,3,5,70,70,0.006524661123134753
695,3,5,70,80,0.006524661123134753
696,3,5,80,10,0.006033716824239663
697,3,5,80,20,0.00604396856133956
698,3,5,80,30,0.006045107643239549
699,3,5,80,40,0.006045107643239549
700,3,5,80,50,0.006042829479439572
701,3,5,80,60,0.006042829479439572
702,3,5,80,70,0.006042829479439572
703,3,5,80,80,0.006042829479439572
704,3,6,10,10,0.006299122906937009
705,3,6,10,20,0.0062900102517371
706,3,6,10,30,0.006292288415537077
707,3,6,10,40,0.006293427497437065
708,3,6,10,50,0.006294566579337055
709,3,6,10,60,0.006293427497437065
710,3,6,10,70,0.006293427497437065
711,3,6,10,80,0.006295705661237043
712,3,6,20,10,0.005059801799749401
713,3,6,20,20,0.005046132816949539
714,3,6,20,30,0.005049550062649505
715,3,6,20,40,0.005049550062649505
716,3,6,20,50,0.005049550062649505
717,3,6,20,60,0.005049550062649505
718,3,6,20,70,0.005049550062649505
719,3,6,20,80,0.005050689144549493
720,3,6,30,10,0.005468732201845312
721,3,6,30,20,0.00545506321904545
722,3,6,30,30,0.005456202300945437
723,3,6,30,40,0.005456202300945437
724,3,6,30,50,0.005456202300945437
725,3,6,30,60,0.005456202300945437
